time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.79204388529e-06,2.00456133516e-05,10.0070938168,0.00400327494939,0.000496848764829,0.0,-0.000112372957039,0.0011857559718,0.236440103895,-0.0231506705336,0.00661426091673,0.0,478.0094691249918,478.5131087268448,479.09488520662387,477.3318400460529
0.12000000000000001,-2.36475605684e-05,0.000181144738406,10.0256790792,0.00416908196259,0.00164822367859,0.0,-0.000732377158439,0.00421839099939,0.383029985272,-0.0380629067798,0.0150050084058,0.0,451.2962874391901,451.9728132571052,452.0075616808051,450.8041892774938
0.18,-0.000117897879898,0.000524987747302,10.0548738721,0.00208280229644,0.00434494213921,0.0,-0.0027110142125,0.00700416936804,0.590045469322,-0.0442770834403,0.0285362155321,0.0,468.49478732415054,469.54548370528937,470.8510485561863,470.36939458957244
0.23999999999999996,-0.000381879598509,0.000992255212756,10.0942712549,0.00224579937536,0.00609327861113,0.0,-0.00627878447241,0.00860979056021,0.723124323759,-0.0639109094046,0.024931949407,0.0,447.8182004515666,447.5251425273228,448.4405330111097,446.84141027265576
0.3,-0.00092259516129,0.00156308919384,10.1443888987,0.00178500971782,0.00973827190589,0.0,-0.0121649050954,0.0103881416277,0.947301911144,-0.0852683407191,0.0398355239443,0.0,475.12575191455903,476.26707842734345,475.59765884123215,473.95570613153353
0.36000000000000004,-0.00187248532486,0.00220831030408,10.2047959461,6.28072534397,0.0129374986038,0.0,-0.0198439723982,0.0106863890207,1.06615903917,-0.0967633967634,0.0287090180679,0.0,444.5542122409234,443.6422809277829,443.9271860528716,442.97640502915107
0.4200000000000001,-0.00339364128307,0.00278475014846,10.2726151733,6.27804266327,0.0266393802104,0.0,-0.0322753578132,0.00822479061456,1.19433057829,-0.078567680642,0.0654424438187,0.0,446.06233862554365,449.0527089031892,445.5690240244025,447.0470635853748
0.48000000000000015,-0.00576486363242,0.00318907187041,10.3424966363,6.27574722351,0.0305543030795,0.0,-0.0470749143099,0.00505990868137,1.13510253895,-0.0626896245408,0.0644567615534,0.0,384.816334743871,384.72687522305716,383.76461556426216,385.26355319628135
0.5400000000000001,-0.00926022231932,0.00333779073134,10.4139011757,6.27564853281,0.0380099004781,0.0,-0.0702276673307,-8.85576702064e-05,1.2449081946,-0.0848891783077,0.0424712465547,0.0,442.6248013131498,440.81425242605826,442.05245547268385,440.2156954036366
0.6000000000000002,-0.0143244099035,0.00315055367243,10.4923911188,6.27055493429,0.046276849373,0.0,-0.0994776045936,-0.00669048113563,1.37123643953,-0.0849016287472,0.0150474054553,0.0,448.00967015431746,445.7750433325865,446.951000318231,446.9441137151919
0.6600000000000003,-0.0214113981431,0.00242796721223,10.5809984607,6.26664613532,0.0480232361134,0.0,-0.13693939453,-0.0178674564567,1.58205571403,-0.0741155962563,0.0239797385448,0.0,472.2090567317368,472.8974575459705,472.7687750559584,473.5941151865064
0.7200000000000003,-0.0305420843102,0.00103525431083,10.6767388864,6.26227295953,0.056065153601,0.0,-0.168124396939,-0.0289556708668,1.60920750899,-0.0721078902052,0.0509543204385,0.0,413.17569869766635,415.54744160110255,417.5156802434232,417.6862192830677
0.7800000000000004,-0.0420917856439,-0.00121502051364,10.7811751412,6.26624140385,0.0622970280241,0.0,-0.217606105974,-0.0455025393656,1.87156976296,-0.104881034741,0.0693089042521,0.0,487.2625280958974,488.634576356474,490.50238750781415,488.05764214111286
0.8400000000000004,-0.0566372147871,-0.00436450714894,10.8990402846,6.26016041417,0.0710302885825,0.0,-0.268251259336,-0.0601627796452,2.05686497286,-0.111264994198,0.044647770611,0.0,467.2968098997853,465.3731034825631,468.0516400203853,467.54513622033636
0.9000000000000005,-0.0746812821121,-0.00863271983711,11.0319515575,6.25363918709,0.0742066409548,0.0,-0.333592273161,-0.082973071726,2.37284649365,-0.107993295365,0.0512666572967,0.0,505.1599216787287,505.63797439786896,505.25273230342304,505.4794144977921
0.9600000000000005,-0.0963196303284,-0.0142441610386,11.1781594605,6.25372129522,0.0796704770822,0.0,-0.388265785248,-0.104024900149,2.50042270544,-0.137280463321,0.0330964075246,0.0,452.32170254672576,450.85724693763524,453.09665659385564,450.7237362596074
1.0200000000000005,-0.121427774264,-0.0211615377136,11.3330186635,6.25020123745,0.0832374161842,0.0,-0.449027146324,-0.126904283749,2.66113309102,-0.162302721485,0.0457229673991,0.0,461.5358189650209,462.5318802659973,464.1015176694698,462.1144339920861
1.0800000000000005,-0.14988327497,-0.029394353504,11.4929161672,6.24147190227,0.0884593288904,0.0,-0.499967892882,-0.148280161212,2.6686819378,-0.174571894196,0.0272350535727,0.0,415.3204300875479,413.69666447485855,415.34883959823037,414.24273559715266
1.1400000000000006,-0.181877515024,-0.0392661054209,11.6577109746,6.23118753573,0.0911826184478,0.0,-0.566765629901,-0.181896796356,2.82400785389,-0.170850005191,0.0375302450139,0.0,461.5471720875575,462.35925905177595,462.0935851492766,462.35927949547784
1.2000000000000006,-0.217781493789,-0.0512838029885,11.8300809999,6.22247355202,0.0935109246802,0.0,-0.630249873052,-0.219547444912,2.92132217445,-0.185685132476,0.0395887979988,0.0,444.89716460942725,445.0663864991374,445.96024826076507,444.71708060798
1.2600000000000007,-0.257586505972,-0.0657599680107,12.0086664436,6.21537475178,0.0974807877671,0.0,-0.696958755071,-0.263724845112,3.03112484292,-0.164829154139,0.0522732565248,0.0,449.73185998633227,450.75915960266514,448.55442795412625,450.2145257103485
